cityName,urbanStatus,stateCode,stateName,districtCode,districtName
Isagarh,N.P.,23,Madhya Pradesh,7,Guna
Islamnagar,N.P.,9,Uttar Pradesh,19,Budaun
Islampur,M,19,West Bengal,4,Uttar Dinajpur
Islampur,N.A.,10,Bihar,27,Nalanda
Isnapur,C.T.,28,Andhra Pradesh,4,Medak
Isri,C.T.,20,Jharkhand,6,Giridih
Itanagar,C.T.,12,Arunachal Pradesh,4,Papum Pare
Itarsi,M,23,Madhya Pradesh,37,Hoshangabad
Itaunja,N.P.,9,Uttar Pradesh,27,Lucknow
Jabalpur,M.Corp.,23,Madhya Pradesh,39,Jabalpur
Jabalpur Cantt.,C.B.,23,Madhya Pradesh,39,Jabalpur
Jadugora,C.T.,20,Jharkhand,18,Purbi Singhbhum
Jafarabad,N.P.,9,Uttar Pradesh,64,Jaunpur
Jafarpur,C.T.,19,West Bengal,11,North Twentyfour Parganas
Jaffrabad,C.T.,7,Delhi *,3,North East
Jaffrabad,C.T.,33,Tamil Nadu,4,Vellore
Jafrabad,M,24,Gujarat,13,Amreli
Jagadanandapur,C.T.,19,West Bengal,10,Nadia 
Jagadhri,M.Cl.,6,Haryana,3,Yamunanagar
Jagadishpur,C.T.,19,West Bengal,16,Haora 
Jagalur,T.P.,29,Karnataka,14,Davanagere
Jagathala,T.P.,33,Tamil Nadu,11,The Nilgiris
Jagatsinghapur,N.A.C.,21,Orissa,11,Jagatsinghapur
Jagdalpur,M,22,Chhattisgarh,15,Bastar
Jagdishpur,M,10,Bihar,29,Bhojpur
Jaggayyapet,N.P.,28,Andhra Pradesh,16,Krishna
Jagiroad,C.T.,18,Assam,9,Marigaon
Jagner,N.P.,9,Uttar Pradesh,15,Agra
Jagraon,M.Cl.,3,Punjab,9,Ludhiana
Jagtaj,C.T.,19,West Bengal,7,Murshidabad 
Jagtial,M,28,Andhra Pradesh,3,Karimnagar
Jahanabad,N.P.,9,Uttar Pradesh,21,Pilibhit
Jahangirabad,M.B.,9,Uttar Pradesh,11,Bulandshahr 
Jahangirpur,N.P.,9,Uttar Pradesh,10,Gautam Buddha Nagar
Jahazpur,M,8,Rajasthan,24,Bhilwara
Jainagar,N.A.,10,Bihar,5,Madhubani
Jaipur,M.Corp.,8,Rajasthan,12,Jaipur
Jairampur,C.T.,12,Arunachal Pradesh,12,Changlang
Jais,M.B.,9,Uttar Pradesh,28,Rae Bareli
Jaisalmer,M,8,Rajasthan,16,Jaisalmer
Jaisinghnagar,N.P.,23,Madhya Pradesh,16,Shahdol
Jaitaran,M,8,Rajasthan,20,Pali
Jaithara,N.P.,9,Uttar Pradesh,17,Etah
Jaithari,N.P.,23,Madhya Pradesh,16,Shahdol
Jaitu,M.Cl.,3,Punjab,13,Faridkot
Jaitwara,N.P.,23,Madhya Pradesh,13,Satna
Jajapur,M,21,Orissa,13,Jajapur
Jakhal Mandi,M.C.,6,Haryana,10,Fatehabad
Jala Kendua,C.T.,19,West Bengal,16,Haora 
Jalakandapuram,T.P.,33,Tamil Nadu,8,Salem
Jalalabad,N.P.,9,Uttar Pradesh,2,Muzaffarnagar
Jalalabad,N.P.,9,Uttar Pradesh,3,Bijnor
Jalalabad,M.Cl.,3,Punjab,11,Firozpur
Jalalabad,M.B.,9,Uttar Pradesh,22,Shahjahanpur
Jalali,N.P.,9,Uttar Pradesh,12,Aligarh
Jalalpore,C.T.,24,Gujarat,24,Navsari
Jalalpur,M.B.,9,Uttar Pradesh,48,Ambedaker Nagar
Jalandhar,M.Corp.,3,Punjab,4,Jalandhar
Jalandhar Cantt.,C.B.,3,Punjab,4,Jalandhar
